# FROM CRISPRCASDB
# COLLECTED BY @purpurax

"gene","count"
Cas3_0_I-D_8,14
Cas3_0_I-U_1,58
Cas3_0_I-U_2,9
Cas3_0_I-U_3,125
Cas3_0_I-U_4,12
Cas3_0_I-U_6,19
Cas3_1_I_1,290
Cas3_1_I_10,1
Cas3_1_I_11,2
Cas3_1_I_13,3
Cas3_1_I_2,43
Cas3_1_I_3,43
Cas3_1_I_4,54
Cas3_1_I_5,81
Cas3_1_I_6,52
Cas3_1_I_7,65
Cas3_1_I_8,66
Cas3_1_I_9,52
Cas3-Cas2_0_I-F_1,134
Cas3-Cas2_0_I-F_2,492
Cas3-Cas2_0_I-F_3,10
Cas3-Cas2_0_I-F_4,15
Cas3-Cas2_0_I-F_5,585
Cas3-Cas2_0_I-F_6,69
Cas4_0_I-A_1,30
Cas4_0_I-A_10,5
Cas4_0_I-A_11,2
Cas4_0_I-A_13,10
Cas4_0_I-A_2,8
Cas4_0_I-A_3,3
Cas4_0_I-A_4,16
Cas4_0_I-A_5,3
Cas4_0_I-A_6,5
Cas4_0_I-A_7,2
Cas4_0_I-A_8,15
Cas4_0_I-A_9,9
Cas4_0_I-II_1,232
Cas4_0_I-II_10,18
Cas4_0_I-II_11,10
Cas4_0_I-II_2,94
Cas4_0_I-II_3,1259
Cas4_0_I-II_4,197
Cas4_0_I-II_5,789
Cas4_0_I-II_6,277
Cas4_0_I-II_7,59
Cas4_0_I-II_8,29
Cas4_0_I-II_9,11
Cas4_0_I-II-V_1,13
Cas4_0_I-II-V_2,1
Cas4_0_I-II-V_3,93
Cas4_0_I-II-V_4,2
Cas4_0_I-II-V_5,5
Cas4_0_I-II-V_6,32
Cas4_0_I-II-V_7,3
Cas4_0_V_2,19
Cas4_0_V_3,18
Cas5_0_I_1,45
Cas5_0_I_2,25
Cas5_0_I_3,47
Cas5_0_I_4,43
Cas5_0_I_5,55
Cas5_0_I_6,8
Cas5_0_I_7,22
Cas5_0_I-A_1,4
Cas5_0_I-A_11,3
Cas5_0_I-A_2,5
Cas5_0_I-A_3,34
Cas5_0_I-A_4,27
Cas5_0_I-A_5,17
Cas5_0_I-A_6,12
Cas5_0_I-A_7,20
Cas5_0_I-A_8,1
Cas5_0_I-A_9,1
Cas5_0_I-B_1,43
Cas5_0_I-B_10,1
Cas5_0_I-B_13,1
Cas5_0_I-B_2,140
Cas5_0_I-B_3,107
Cas5_0_I-B_4,148
Cas5_0_I-B_5,223
Cas5_0_I-B_6,20
Cas5_0_I-B_7,16
Cas5_0_I-C_1,58
Cas5_0_I-C_13,1
Cas5_0_I-C_2,707
Cas5_0_I-C_3,106
Cas5_0_I-C_4,22
Cas5_0_I-C_5,86
Cas5_0_I-C_6,672
Cas5_0_I-C_7,10
Cas5_0_I-C_9,2
Cas5_0_I-E_1,48
Cas5_0_I-E_10,2
Cas5_0_I-E_11,1
Cas5_0_I-E_2,112
Cas5_0_I-E_3,298
Cas5_0_I-E_4,2277
Cas5_0_I-E_5,2843
Cas5_0_I-E_6,236
Cas5_0_I-E_7,60
Cas5_0_I-E_8,1
Cas5_1_I-B_1,21
Cas5_1_I-B_2,48
Cas5_1_I-B_3,163
Cas5_1_I-B_4,80
Cas5_1_I-B_5,204
Cas5_1_I-B_6,19
Cas5_1_I-B_7,3
Cas5_1_I-B_8,1
Cas5_1_I-C_1,1
Cas5_1_I-C_2,12
Cas5_1_I-C_7,8
Cas6_0_I-A_1,44
Cas6_0_I-A_2,3
Cas6_0_I-A_3,20
Cas6_0_I-A_4,10
Cas6_0_I-A_5,32
Cas6_0_I-A_6,11
Cas6_0_I-A_7,25
Cas6_0_I-A_9,1
Cas6_0_I-E_1,101
Cas6_0_I-E_11,1
Cas6_0_I-E_12,1
Cas6_0_I-E_2,140
